primary_label,inat_taxon_id,scientific_name,common_name,class_name,label_id,class_id
1161364,1161364,Guyalna cuta,Guyalna cuta,Insecta,0,2
116570,116570,Caiman yacare,Southern Spectacled Caiman,Reptilia,1,4
1176823,1176823,Leptodactylus luctator,Wrestler Frog,Amphibia,2,0
1491113,1491113,Adenomera guarani,Guaraní leaf-litter frog,Amphibia,3,0
1595929,1595929,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia,4,0
209233,209233,Equus caballus,Feral Horse,Mammalia,5,3
22930,22930,Leptodactylus syphax,Basin White-lipped Frog,Amphibia,6,0
22956,22956,Leptodactylus mystacinus,Mustached Frog,Amphibia,7,0
22961,22961,Leptodactylus podicipinus,Pointedbelly Frog,Amphibia,8,0
22967,22967,Leptodactylus elenae,Marbled White-lipped Frog,Amphibia,9,0
22973,22973,Leptodactylus fuscus,Whistling Grass Frog,Amphibia,10,0
22983,22983,Leptodactylus labyrinthicus,Pepper Frog,Amphibia,11,0
22985,22985,Leptodactylus petersii,Peter's Jungle Frog,Amphibia,12,0
23150,23150,Physalaemus centralis,Central Dwarf Frog,Amphibia,13,0
23154,23154,Physalaemus albifrons,Bahia Dwarf Frog,Amphibia,14,0
23158,23158,Physalaemus albonotatus,Pale-legged Weeping Frog,Amphibia,15,0
23176,23176,Pseudopaludicola mystacalis,Cope's Swamp Froglet,Amphibia,16,0
23724,23724,Phyllomedusa sauvagii,Waxy Monkey Tree Frog,Amphibia,17,0
24279,24279,Scinax nasicus,Lesser Snouted Tree Frog,Amphibia,18,0
24285,24285,Scinax fuscovarius,Snouted Tree Frog,Amphibia,19,0
24287,24287,Scinax fuscomarginatus,Brown-bordered Snouted Tree Frog,Amphibia,20,0
24321,24321,Scinax acuminatus,Mato Grosso Snouted Tree Frog,Amphibia,21,0
244024,244024,Quesada gigas,Giant Cicada,Insecta,22,2
25073,25073,Chiasmocleis mehelyi,Chiasmocleis mehelyi,Amphibia,23,0
25092,25092,Elachistocleis bicolor,Two-colored oval frog,Amphibia,24,0
25214,25214,Dermatonotus muelleri,Muller's Termite Frog,Amphibia,25,0
