filename,total_sec,has_voice,voice_segments_count,total_voice_sec,voice_ratio_pct,segments_detail,segments_mmss,error
train_audio\1161364\iNat842139.ogg,12.09,False,0,0.0,0.0,,,
train_audio\1161364\iNat868369.ogg,29.64,False,0,0.0,0.0,,,
train_audio\1161364\iNat869958.ogg,7.74,False,0,0.0,0.0,,,
train_audio\116570\iNat1460166.ogg,7.86,False,0,0.0,0.0,,,
train_audio\1176823\iNat188986.ogg,15.88,False,0,0.0,0.0,,,
train_audio\1176823\iNat389418.ogg,12.33,False,0,0.0,0.0,,,
train_audio\1176823\iNat730318.ogg,24.19,False,0,0.0,0.0,,,
train_audio\1176823\iNat730319.ogg,6.79,False,0,0.0,0.0,,,
train_audio\1161364\iNat1114648.ogg,28.39,False,0,0.0,0.0,,,
train_audio\1161364\iNat1216197.ogg,18.02,False,0,0.0,0.0,,,
train_audio\1161364\iNat1264238.ogg,0.29,False,0,0.0,0.0,,,
train_audio\1161364\iNat547199.ogg,15.78,False,0,0.0,0.0,,,
train_audio\1595929\XC999239.ogg,25.8,False,0,0.0,0.0,,,
train_audio\209233\iNat1545859.ogg,0.14,False,0,0.0,0.0,,,
train_audio\209233\iNat864998.ogg,17.18,False,0,0.0,0.0,,,
train_audio\22930\iNat1248662.ogg,30.95,False,0,0.0,0.0,,,
train_audio\1176823\iNat819936.ogg,8.99,False,0,0.0,0.0,,,
train_audio\1176823\iNat829107.ogg,28.19,False,0,0.0,0.0,,,
train_audio\1176823\iNat845830.ogg,21.0,False,0,0.0,0.0,,,
train_audio\1176823\iNat936019.ogg,13.42,False,0,0.0,0.0,,,
train_audio\1176823\iNat1269019.ogg,25.05,False,0,0.0,0.0,,,
train_audio\1176823\iNat145706.ogg,19.8,False,0,0.0,0.0,,,
train_audio\1176823\iNat1641731.ogg,19.88,False,0,0.0,0.0,,,
train_audio\1176823\iNat1708543.ogg,12.15,False,0,0.0,0.0,,,
train_audio\1595929\iNat1242529.ogg,26.24,False,0,0.0,0.0,,,
train_audio\1595929\iNat1242532.ogg,35.06,True,1,1.06,3.0,34.00-35.06,0:34.00-0:35.06,
train_audio\1595929\iNat1308166.ogg,21.87,False,0,0.0,0.0,,,
train_audio\1595929\iNat1679888.ogg,15.7,False,0,0.0,0.0,,,
train_audio\1161364\iNat556514.ogg,71.06,False,0,0.0,0.0,,,
train_audio\1161364\iNat810195.ogg,80.02,False,0,0.0,0.0,,,
train_audio\1161364\iNat818781.ogg,61.27,False,0,0.0,0.0,,,
train_audio\1161364\iNat840159.ogg,7.5,False,0,0.0,0.0,,,
train_audio\22930\XC940773.ogg,25.84,False,0,0.0,0.0,,,
train_audio\22956\iNat1245289.ogg,20.65,False,0,0.0,0.0,,,
train_audio\22956\iNat1257825.ogg,9.7,False,0,0.0,0.0,,,
train_audio\22956\iNat1261831.ogg,10.57,False,0,0.0,0.0,,,
train_audio\22956\iNat1300149.ogg,37.0,False,0,0.0,0.0,,,
train_audio\22956\iNat1301818.ogg,12.68,False,0,0.0,0.0,,,
train_audio\22956\iNat1307619.ogg,12.27,False,0,0.0,0.0,,,
train_audio\22956\iNat1307645.ogg,15.74,False,0,0.0,0.0,,,
train_audio\22956\iNat1702693.ogg,16.95,False,0,0.0,0.0,,,
train_audio\22956\iNat1705476.ogg,42.17,False,0,0.0,0.0,,,
train_audio\22956\iNat1711085.ogg,9.3,False,0,0.0,0.0,,,
train_audio\22956\iNat1723893.ogg,11.82,False,0,0.0,0.0,,,
train_audio\22930\iNat317238.ogg,11.47,False,0,0.0,0.0,,,
train_audio\22930\iNat330099.ogg,25.43,False,0,0.0,0.0,,,
train_audio\22930\iNat897105.ogg,20.32,False,0,0.0,0.0,,,
train_audio\22930\iNat910967.ogg,42.29,False,0,0.0,0.0,,,
train_audio\22956\iNat1637913.ogg,16.9,False,0,0.0,0.0,,,
train_audio\22956\iNat1693371.ogg,0.58,True,1,0.38,65.3,0.20-0.58,0:00.20-0:00.58,
train_audio\22956\iNat1693794.ogg,49.16,False,0,0.0,0.0,,,
train_audio\22956\iNat1701222.ogg,19.54,False,0,0.0,0.0,,,
train_audio\22956\iNat1282546.ogg,6.45,False,0,0.0,0.0,,,
train_audio\22956\iNat1282547.ogg,21.16,False,0,0.0,0.0,,,
train_audio\22956\iNat1284850.ogg,25.77,True,2,1.9,7.4,0.10-1.60 | 3.80-4.20,0:00.10-0:01.60 | 0:03.80-0:04.20,
train_audio\22956\iNat1298529.ogg,48.34,False,0,0.0,0.0,,,
train_audio\22956\iNat182971.ogg,14.94,False,0,0.0,0.0,,,
train_audio\22956\iNat327340.ogg,29.88,False,0,0.0,0.0,,,
train_audio\22956\iNat328497.ogg,29.88,False,0,0.0,0.0,,,
train_audio\22956\iNat330827.ogg,31.63,False,0,0.0,0.0,,,
train_audio\22956\XC900618.ogg,6.95,False,0,0.0,0.0,,,
train_audio\22961\iNat1657948.ogg,6.74,False,0,0.0,0.0,,,
train_audio\22961\iNat1662496.ogg,56.56,False,0,0.0,0.0,,,
train_audio\22961\iNat512578.ogg,15.07,False,0,0.0,0.0,,,
train_audio\22967\iNat321313.ogg,19.33,False,0,0.0,0.0,,,
train_audio\22967\iNat56387.ogg,12.19,False,0,0.0,0.0,,,
train_audio\22967\iNat911059.ogg,22.18,False,0,0.0,0.0,,,
train_audio\22973\iNat1099468.ogg,20.15,False,0,0.0,0.0,,,
train_audio\22967\iNat1697350.ogg,10.7,False,0,0.0,0.0,,,
train_audio\22967\iNat1698104.ogg,5.84,False,0,0.0,0.0,,,
train_audio\22967\iNat1698105.ogg,23.33,False,0,0.0,0.0,,,
train_audio\22967\iNat1698107.ogg,34.95,False,0,0.0,0.0,,,
train_audio\22956\iNat60929.ogg,61.7,False,0,0.0,0.0,,,
train_audio\22956\iNat804970.ogg,15.64,False,0,0.0,0.0,,,
train_audio\22956\iNat854298.ogg,65.38,False,0,0.0,0.0,,,
train_audio\22956\iNat859870.ogg,50.59,False,0,0.0,0.0,,,
train_audio\22973\iNat1257590.ogg,38.5,False,0,0.0,0.0,,,
train_audio\22973\iNat1267679.ogg,5.9,False,0,0.0,0.0,,,
train_audio\22973\iNat1299089.ogg,7.04,False,0,0.0,0.0,,,
train_audio\22973\iNat1320384.ogg,6.53,False,0,0.0,0.0,,,
train_audio\22961\iNat839121.ogg,10.54,False,0,0.0,0.0,,,
train_audio\22961\iNat846512.ogg,10.48,False,0,0.0,0.0,,,
train_audio\22961\XC1062603.ogg,56.61,False,0,0.0,0.0,,,
train_audio\22967\iNat1448422.ogg,18.03,False,0,0.0,0.0,,,
train_audio\22973\iNat1243033.ogg,12.59,False,0,0.0,0.0,,,
train_audio\22973\iNat1243080.ogg,18.24,False,0,0.0,0.0,,,
train_audio\22973\iNat1251026.ogg,57.41,True,8,21.2,36.9,16.80-17.40 | 29.10-30.60 | 31.60-34.70 | 36.30-38.80 | 40.40-46.80 | 47.70-49.50 | 50.10-54.20 | 55.00-56.20,0:16.80-0:17.40 | 0:29.10-0:30.60 | 0:31.60-0:34.70 | 0:36.30-0:38.80 | 0:40.40-0:46.80 | 0:47.70-0:49.50 | 0:50.10-0:54.20 | 0:55.00-0:56.20,
train_audio\22973\iNat1257589.ogg,12.64,False,0,0.0,0.0,,,
train_audio\22956\iNat859871.ogg,50.59,False,0,0.0,0.0,,,
train_audio\22956\iNat879304.ogg,31.53,False,0,0.0,0.0,,,
train_audio\22956\iNat886570.ogg,65.93,False,0,0.0,0.0,,,
train_audio\22956\iNat972765.ogg,12.74,False,0,0.0,0.0,,,
train_audio\22973\iNat1353836.ogg,0.1,False,0,0.0,0.0,,,
train_audio\22973\iNat1431353.ogg,3.88,False,0,0.0,0.0,,,
train_audio\22973\iNat1460521.ogg,0.11,False,0,0.0,0.0,,,
train_audio\22973\iNat154035.ogg,27.11,False,0,0.0,0.0,,,
train_audio\22973\iNat157085.ogg,21.5,False,0,0.0,0.0,,,
train_audio\22973\iNat1645288.ogg,0.03,False,0,0.0,0.0,,,
train_audio\22973\iNat1675887.ogg,5.9,False,0,0.0,0.0,,,
train_audio\22973\iNat1677772.ogg,21.27,False,0,0.0,0.0,,,
train_audio\22973\iNat28982.ogg,11.02,False,0,0.0,0.0,,,
train_audio\22973\iNat29017.ogg,37.25,False,0,0.0,0.0,,,
train_audio\22973\iNat318716.ogg,19.9,False,0,0.0,0.0,,,
train_audio\22973\iNat326854.ogg,14.87,False,0,0.0,0.0,,,
train_audio\22973\iNat1698103.ogg,13.09,False,0,0.0,0.0,,,
train_audio\22973\iNat218912.ogg,23.89,False,0,0.0,0.0,,,
